rank,name,confed,off,def,spi
1,Brazil,CONMEBOL,2.89,0.28,91.88
2,Spain,UEFA,3.18,0.46,91.11
3,Argentina,CONMEBOL,2.76,0.42,88.61
4,England,UEFA,2.58,0.36,88.0
5,Portugal,UEFA,2.92,0.58,87.29
6,France,UEFA,2.7,0.47,87.27
7,Belgium,UEFA,2.93,0.65,86.31
8,Italy,UEFA,2.61,0.47,86.27
9,Germany,UEFA,2.95,0.67,86.1
10,Denmark,UEFA,2.6,0.61,83.55
11,Netherlands,UEFA,2.65,0.66,83.25
12,Uruguay,CONMEBOL,2.11,0.44,81.22
13,Mexico,CONCACAF,2.28,0.56,80.77
14,Switzerland,UEFA,2.51,0.72,80.52
15,Czech Republic,UEFA,2.28,0.64,79.16
16,Colombia,CONMEBOL,2.08,0.57,77.9
17,Ecuador,CONMEBOL,2.25,0.7,77.31
18,USA,CONCACAF,2.2,0.7,76.65
19,Croatia,UEFA,2.3,0.78,76.37
20,Algeria,CAF,2.37,0.83,76.22
21,Chile,CONMEBOL,2.14,0.68,76.15
22,Sweden,UEFA,2.17,0.76,74.95
23,Austria,UEFA,2.06,0.71,74.23
24,Canada,CONCACAF,2.14,0.81,73.44
25,Serbia,UEFA,2.15,0.82,73.34
26,Morocco,CAF,1.97,0.71,72.68
27,Peru,CONMEBOL,2.18,0.87,72.66
28,Paraguay,CONMEBOL,1.97,0.72,72.62
29,Poland,UEFA,2.11,0.86,71.72
30,Japan,AFC,1.99,0.81,70.8
31,Iran,AFC,1.77,0.71,69.23
32,Russia,UEFA,1.93,0.88,68.16
33,Australia,AFC,1.91,0.87,67.93
34,Norway,UEFA,1.86,0.86,67.35
35,Wales,UEFA,1.66,0.71,67.22
36,Greece,UEFA,1.58,0.69,66.2
37,Ukraine,UEFA,1.81,0.88,65.9
38,Saudi Arabia,AFC,1.95,1.0,65.86
39,Ivory Coast,CAF,1.7,0.81,65.35
40,Senegal,CAF,1.6,0.77,64.41
41,Tunisia,CAF,1.64,0.82,64.09
42,Scotland,UEFA,1.6,0.78,64.07
43,Turkey,UEFA,1.92,1.06,63.83
44,South Korea,AFC,1.54,0.76,63.54
45,Egypt,CAF,1.58,0.81,63.08
46,Venezuela,CONMEBOL,1.66,0.88,62.96
47,Ghana,CAF,1.44,0.71,62.6
48,Bosnia and Herzegovina,UEFA,1.64,0.88,62.4
49,Qatar,AFC,1.69,0.99,60.9
50,Basque Country,UEFA,1.63,1.0,59.32
51,Romania,UEFA,1.8,1.16,59.3
52,Nigeria,CAF,1.67,1.06,58.76
53,Burkina Faso,CAF,1.33,0.78,58.34
54,Northern Ireland,UEFA,1.47,0.9,58.26
55,Guatemala,CONCACAF,1.47,0.91,58.21
56,Israel,UEFA,1.73,1.14,58.16
57,Slovenia,UEFA,1.36,0.82,57.85
58,Jamaica,CONCACAF,1.43,0.91,57.27
59,Iceland,UEFA,1.52,0.99,57.23
60,Rep of Ireland,UEFA,1.33,0.84,56.85
61,Finland,UEFA,1.52,1.02,56.62
62,China PR,AFC,1.37,0.88,56.49
63,Bahrain,AFC,1.57,1.1,55.84
64,El Salvador,CONCACAF,1.26,0.81,55.67
65,Mali,CAF,1.13,0.7,55.28
66,Georgia,UEFA,1.33,0.92,54.83
67,Hungary,UEFA,1.45,1.06,54.06
68,Uganda,CAF,1.38,1.0,54.05
69,Zimbabwe,CAF,1.5,1.12,54.03
70,North Macedonia,UEFA,1.51,1.13,53.89
71,Panama,CONCACAF,1.38,1.0,53.76
72,Iraq,AFC,1.27,0.9,53.65
73,Honduras,CONCACAF,1.44,1.12,52.43
74,South Africa,CAF,1.39,1.07,52.32
75,Montenegro,UEFA,1.38,1.07,52.31
